#Name	PubChem	MP
angelica lactone	6429310	18
"3,5-bis(trifluoromethyl)benzamide"	519927	162
"ethyl 2,2-bis[(Z)-(4,7,7-trimethyl-3-oxobicyclo[2.2.1]hept-2-ylidene)methyl]hexanoate"	2750169	175
phenomorphan	521204	244
"3-(1,3-dithiolan-2-ylidene)pentane-2,4-dione"	1271719	91
cedrene	521207	262.5
mopidamol	26172	157.5
"3,5-Dichlorobenzene-1,2-diol"	26173	82.5
"diethyl (2,4,6-trifluorophenyl)malonate"	2782662	48
2-hydroxy-4-methylpyridine	280741	130
"d-glucitol, 1,4:3,6-dianhydro-, dinitrate"	3780	70
4-bromopyrazole	16375	94.5
Phenyl(2-thienyl)methanone	67262	57
4-nitro-1h-pyrazole	16376	161
"2h-1-benzopyran, 3,4-dihydro-"	136319	215
o-chlorocumene	16377	-74
"1,1'-biphenyl-3,5-diyldipyrrolidine"	2747711	174
"benzene, 1-iodo-2-nitro-"	69115	54
dieldrin	969491	175
methyl 2-amino-5-bromobenzoate	736224	72
"1-methyl-6-(methylsulfanyl)-4-naphthalen-2-yl-2-phenyl-1,2-dihydro-3H-indazol-3-one"	2747714	179
"5,7-dimethyl-3-[(E)-pyridin-4-yldiazenyl]pyrazolo[1,5-a]pyrimidin-2-amine"	2753951	229
"3-methyl-5-(methylsulfanyl)-2-phenyl-2,3,6,7-tetrahydro-1H-naphtho[1,2-e]indazol-1-one"	2747715	181
"(2E)-2-(1,3-benzothiazol-2-yl)-2-[(2,5-dichlorophenyl)hydrazono]ethanamide"	2753952	271
"9-methoxy-3-methyl-2-phenyl-2,3,6,7-tetrahydro-1H-naphtho[1,2-e]indazol-1-one"	2747716	162
"(2E)-2-(1,3-benzothiazol-2-yl)-2-(pyridin-3-ylhydrazono)ethanamide"	2753953	239
Imiquimod	57469	293
"3-methyl-5-(methylsulfanyl)-2-phenyl-2,3,6,7-tetrahydro-1H-[1]benzoxepino[5,4-e]indazol-1-one"	2747717	176
"2,4-bis((3-methoxypropyl)amino)-6-(methylthio)-s"	13305	55
"1-methyl-2,4-diphenyl-6-pyrrolidin-1-yl-1,2-dihydro-3H-indazol-3-one"	2747718	159
perfluidone	37869	143
"4-(4-methoxyphenyl)-1-methyl-2-phenyl-6-pyrrolidin-1-yl-1,2-dihydro-3H-indazol-3-one"	2747719	217
"1,1'-thiocarbonyldi-2(1h)-pyridone"	853162	165
3-bromo-5-chloropyridine	606256	80
"2,5-dichloro-4-nitroaniline"	23108	155
Boldenone	13308	165
2-bromo-4-methylphenol	23109	16
"4-hydroxy-1-methyl-3-(5-oxo-4,5-dihydro-1H-pyrazol-3-yl)quinolin-2(1H)-one"	6755615	287
"7-(4-chlorophenyl)-10,10-dimethyl-7,10,11,12-tetrahydrobenzo[c]acridin-8(9H)-one"	2753959	139
3-bromo-5-ethoxy-4-hydroxybenzaldehyde	612496	142
6-aminoindole	256096	73
6-methyl-5-hepten-2-one	9862	-67
pentaphene	519935	257
di(trimethylolpropane)	90038	109.5
"S,3-Hydroxybutan-2-One"	447765	15
2-fluoropropane	9867	133.4
"1,1,1-trifluoroethane"	9868	-111.3
3-iodo-4-methylaniline	118889	36
1-(2-methoxyphenyl)piperazine	1346	37
"1-dodecanone, 1-phenyl-"	74292	47
d & c red no. 21	27020	295
"propane, 1,3,3-triethoxy-"	24624	53
4-methoxyphenyl glucopyranoside	380510	159
mesulphen	67272	123
hexene - mixture of isomers	19966	-98
"2-chloro-3,6-difluorophenol"	2773561	54
3-fluoro-2-hydroxypyridine	2783363	159
"5-(2-chlorophenyl)-3-(thiophen-2-ylcarbonyl)-3aH-pyrrolo[3,4-d]isoxazole-4,6(5H,6aH)-dione"	2753961	180
2-methoxy-5-(trifluoromethoxy)benzaldehyde	2783364	23
"(5E)-5-(2-azidoethylidene)-3,4-dimethoxyfuran-2(5H)-one"	2747724	56
phenoxazine	67278	156
C 3	30627	121
"10-[(Z)-(3,4-dimethoxy-5-oxofuran-2(5H)-ylidene)methyl]-3,4-dimethoxy-1-oxaspiro[4.5]deca-3,6-dien-2-one"	2747726	119
lormetazepam	13314	206
1-Aminopropan-2-ol	4	-2
2-chloro-6-fluorobenzamide	98564	141
"(2Z)-(3,4-dimethoxy-5-oxofuran-2(5H)-ylidene)ethanal"	2747727	61
